Time,TrackingValue
2000.00000, 0.00000
2025.00000, 0.00000
2050.00000, 0.00000
2075.00000, 0.00000
2100.00000, 0.00000
2125.00000, 0.00000
2150.00000, 0.00000
2175.00000, 0.00000
2200.00000, 0.00000
2225.00000, 0.00000
2250.00000, 0.00000
2275.00000, 0.00000
2300.00000, 0.00000
2325.00000, 0.00000
2350.00000, 0.00000
2375.00000, 0.00000
2400.00000, 0.00000
2425.00000, 0.00000
2450.00000, 0.00000
2475.00000, 0.00000
2536.00000, 0.00000
2562.00000, 0.00557
2587.00000, 0.00570
2612.00000, 0.00571
2637.00000, 0.00564
2662.00000, 0.00564
2687.00000, 0.00598
2712.00000, 0.00604
2737.00000, 0.00563
2762.00000, 0.00607
2787.00000, 0.00593
2812.00000, 0.00624
2837.00000, 0.00594
2862.00000, 0.00582
2887.00000, 0.00578
2912.00000, 0.00571
2937.00000, 0.00575
2962.00000, 0.00550
2987.00000, 0.00567
3012.00000, 0.00564
3037.00000, 0.00587
3062.00000, 0.00582
3087.00000, 0.00586
3112.00000, 0.00567
3137.00000, 0.00602
3162.00000, 0.00587
3187.00000, 0.00593
3212.00000, 0.00596
3237.00000, 0.00574
3262.00000, 0.00556
3287.00000, 0.00591
3312.00000, 0.00570
3337.00000, 0.00561
3362.00000, 0.00587
3387.00000, 0.00587
3412.00000, 0.00584
3437.00000, 0.00580
3462.00000, 0.00561
3487.00000, 0.00552
3512.00000, 0.00577
3537.00000, 0.00619
3562.00000, 0.00598
3587.00000, 0.00573
3612.00000, 0.00573
3637.00000, 0.00557
3662.00000, 0.00568
3687.00000, 0.00591
3712.00000, 0.00592
3737.00000, 0.00584
3762.00000, 0.00588
3787.00000, -0.00001
3812.00000, -0.05489
3837.00000, -0.70278
3862.00000, -2.97620
3887.00000, -5.39428
3912.00000, -9.60345
3937.00000, -12.93146
3962.00000, -18.42198
3987.00000, -22.71031
4012.00000, -29.68426
4037.00000, -34.79789
4062.00000, -43.19500
4087.00000, -50.68495
4112.00000, -60.21330
4137.00000, -66.58843
4162.00000, -76.03663
4187.00000, -81.70217
4212.00000, -88.89873
4237.00000, -92.79142
4262.00000, -97.45897
4287.00000, -99.42730
4312.00000, -100.92511
